PaymentID,InvoiceID,PaymentDate,PaymentAmount
143,263,2025-05-14,3054.85
144,265,2026-03-05,3925.89
145,266,2025-01-26,2428.73
146,269,2025-02-03,956.69
147,272,2026-01-12,3493.11
148,273,2025-09-03,2962.8
149,275,2025-07-02,1578.91
150,276,2024-12-27,7254.82
151,277,2025-08-26,4385.48
152,279,2025-04-11,1880.11
153,282,2024-09-01,2516.63
154,284,2024-08-13,4478.03
155,290,2025-05-01,4599.08
156,293,2025-08-02,5690.23
157,294,2025-01-01,2964.88
158,296,2024-05-03,1835.52
159,297,2024-12-19,3637.17
160,298,2024-07-09,1712.6
161,299,2024-06-12,2667.71
162,301,2025-12-31,2171.36
163,302,2024-04-11,626.09
164,304,2025-04-09,701.97
165,307,2025-01-22,1713.84
166,308,2024-06-22,5868.96
167,311,2024-12-27,2118.36
168,314,2024-04-29,4302.54
169,317,2024-12-11,2147.92
170,318,2024-12-03,2168.43
171,321,2025-04-23,5412.34
172,322,2024-03-29,2100.21
173,323,2024-08-25,3330.06
174,324,2025-04-08,2375.54
175,326,2025-07-17,2853.98
176,327,2025-08-09,3484.05
177,328,2024-03-26,1344.86
178,331,2025-02-26,1611.66
179,335,2024-03-14,3476.96
180,338,2025-12-30,4810.22
181,341,2025-02-27,1274.87
182,342,2025-05-09,5608.33
183,343,2026-01-07,2165.07
184,344,2025-09-06,932.87
185,346,2024-10-13,919.45
186,347,2024-07-07,1676.38
187,348,2024-12-07,1570.57
188,349,2025-11-23,836.88
189,350,2024-04-06,642.08
190,355,2024-12-12,1482.68
191,356,2024-10-25,2135.07
192,357,2025-09-12,2930.88
193,358,2025-02-26,5915.28
194,359,2025-04-10,1222.06
195,360,2025-12-10,2223.06
196,361,2024-04-20,1675.86
197,362,2024-06-08,3206.74
198,363,2024-12-07,3015.91
199,364,2024-09-27,5830.55
200,366,2024-12-27,2672.36
201,367,2025-01-08,963.67
202,368,2025-09-18,1558.09
203,369,2024-08-24,1582.59
204,372,2025-12-19,3401.55
205,373,2024-12-12,4701.21
206,374,2024-07-28,8785.27
207,375,2024-02-14,1423.11
208,379,2025-04-26,1701.95
209,380,2025-04-14,1187.92
210,381,2024-09-20,3035.2
211,382,2026-02-17,706.34
212,383,2024-04-11,995.2
213,384,2024-08-05,2166.48
214,387,2024-04-23,3877.76
215,389,2024-04-13,990.64
216,390,2025-04-03,2731.08
217,392,2025-08-25,1775.16
218,395,2025-08-18,1323.79
219,396,2025-10-05,1371.25
220,401,2024-03-03,5252.11
221,403,2026-02-14,2204.46
222,407,2025-08-21,2105.06
223,410,2024-08-30,3603.96
224,411,2025-10-11,2696.53
225,412,2025-03-30,3133.2
226,416,2025-10-01,1726.07
227,417,2024-11-21,1939.6
228,419,2025-08-28,1513.54
229,421,2025-09-18,9099.82
230,423,2025-07-15,1031.57
231,425,2024-03-05,2304.09
232,428,2024-09-30,1209.69
233,430,2024-09-29,1010.72
234,431,2025-04-07,2529.83
235,433,2024-04-08,1588.2
236,436,2024-02-26,1670.14
237,437,2024-06-01,2656.94
238,438,2024-03-04,1483.34
239,440,2024-09-27,2940.04
240,441,2025-12-18,872.58
241,445,2025-02-04,4786.05
242,447,2024-09-24,5722.45
243,449,2025-02-02,1620.92
244,450,2025-02-11,4607.37
245,451,2024-04-03,3671.44
246,453,2024-11-09,1156.71
247,455,2024-11-21,2057.38
248,457,2025-02-21,3098.52
249,458,2025-05-22,5387.12
250,462,2025-07-20,4315.89
251,463,2025-11-26,3760.21
252,464,2025-02-26,9147.66
253,465,2024-07-28,4999.77
254,470,2025-11-26,3088.14
255,471,2025-11-06,827.84
256,472,2024-08-30,3122.57
257,473,2024-08-27,6109.27
258,474,2026-01-01,787.85
259,477,2025-09-13,377.9
260,478,2024-09-09,6843.28
261,479,2024-10-28,1486.4
262,480,2024-11-02,2933.22
263,481,2025-03-24,1385.52
264,482,2024-03-26,7468.24
265,483,2024-09-17,7558.91
266,485,2025-04-25,5675.4
267,486,2025-08-06,4659.25
268,487,2025-08-20,4000.36
269,488,2025-05-20,1376.83
270,490,2025-07-03,2949.96
271,492,2024-11-17,5198.96
272,495,2025-12-12,1028.31
273,496,2024-12-31,2912.56
274,497,2024-11-16,3616.8
275,499,2026-01-12,2551.7
276,501,2025-03-04,1205.16
277,505,2025-03-13,4570.59
278,506,2024-12-12,1423.7
279,508,2025-08-11,4495.01
280,510,2025-06-14,3621.95
281,511,2024-10-03,4270.42
282,514,2024-09-12,5247.7
283,516,2024-04-05,5202.4
284,518,2024-08-02,2004.09
285,519,2024-07-04,3449.86
286,520,2026-02-16,4545.81
287,521,2024-09-23,2636.9
288,522,2024-07-23,1514.44
289,523,2024-12-15,1617.77
290,524,2025-09-01,1428.42
291,526,2025-02-01,2179.24
292,527,2025-07-17,4492.63
293,528,2025-05-10,2464.92
294,530,2025-07-11,5201.87
295,531,2026-02-11,4585.13
296,532,2026-01-12,1589.38
297,533,2025-12-19,2721.71
298,534,2026-03-18,4415.91
299,538,2024-11-02,1133.48
300,539,2025-06-09,2461.85
301,542,2024-12-18,4758.73
302,543,2024-05-04,3764.11
303,545,2025-06-28,2909.06
304,550,2025-06-07,3690.23
305,551,2025-02-16,6624.37
306,554,2024-10-27,2557.5
307,557,2025-06-19,4462.65
308,559,2025-11-27,3617.48
309,560,2025-07-15,2930.28
310,561,2025-01-12,3393.14
311,562,2025-08-09,2196.71
312,563,2025-04-29,5086.71
313,569,2025-04-13,1272.99
314,572,2025-04-25,7385.98
315,573,2025-12-10,4284.4
316,579,2024-11-08,4730.95
317,580,2024-06-22,3589.35
318,581,2025-11-16,1607.35
319,582,2025-11-01,521.71
320,583,2024-07-04,6614.17
321,584,2024-10-02,5682.85
322,585,2025-01-13,2189.14
323,586,2024-03-13,1376.85
324,588,2025-08-21,6890.39
325,589,2025-07-22,1662.19
326,590,2025-01-27,2535.13
327,591,2024-06-15,823.06
328,592,2025-09-15,2455.95
329,593,2025-03-31,2091.18
330,594,2024-01-15,1484.87
331,595,2025-03-12,2327.28
332,596,2024-08-13,3975.24
333,597,2024-07-02,5001.34
334,599,2025-05-07,1538.71
335,600,2026-02-22,738.05
336,604,2024-03-25,2868.0
337,605,2025-09-22,2153.94
338,606,2024-01-24,1322.16
339,607,2024-10-01,2374.98
340,608,2025-12-08,2738.12
341,613,2024-02-28,1057.85
342,614,2024-09-26,2796.51
343,615,2025-02-20,1746.21
344,616,2025-08-04,2767.47
345,617,2025-08-21,4715.85
346,618,2024-06-26,3429.93
347,619,2024-11-01,4798.09
348,621,2024-03-23,2369.91
349,622,2024-12-29,4311.23
350,626,2024-10-27,4234.61
351,627,2025-09-17,1728.06
352,628,2024-06-17,2247.67
353,629,2025-10-27,1687.63
354,630,2025-08-04,2519.64
355,631,2025-05-07,1055.0
356,632,2025-12-12,1102.67
357,633,2024-09-01,2011.85
358,634,2025-06-10,2438.43
359,636,2025-08-07,718.43
360,637,2024-08-02,759.19
361,638,2024-05-28,6485.12
362,639,2025-05-18,3067.95
363,640,2025-06-21,947.72
364,641,2024-03-29,1351.81
365,642,2024-12-21,2308.09
366,644,2024-10-15,3150.35
367,645,2024-12-02,4534.36
368,651,2025-11-18,4467.4
369,652,2024-09-06,2576.28
370,653,2024-03-01,3352.6
371,654,2024-07-24,3901.73
372,655,2025-08-29,1517.81
373,656,2025-10-26,5330.55
374,659,2024-11-06,2255.32
375,660,2025-10-28,2954.64
376,662,2025-09-01,4658.47
377,667,2024-08-02,1623.55
378,668,2025-03-03,3439.98
379,669,2024-06-05,3271.5
380,670,2025-08-19,4985.36
381,673,2025-04-11,484.5
382,674,2024-03-07,2995.24
383,675,2024-07-05,668.75
384,677,2025-07-25,4357.59
385,678,2025-04-10,2272.44
386,679,2024-08-12,2707.31
387,683,2024-04-14,4240.78
388,684,2025-08-17,1046.35
389,685,2025-07-16,2717.0
390,686,2024-05-09,3238.24
391,688,2025-09-10,1643.36
392,690,2024-03-23,1359.35
393,692,2024-10-20,4869.77
394,693,2024-10-25,1595.02
395,694,2025-02-15,2485.93
396,698,2024-10-17,1145.86
397,700,2025-11-10,3389.15
398,702,2024-06-14,824.5
399,704,2025-10-21,1960.41
400,707,2025-07-07,6581.23
401,708,2025-01-23,4999.07
402,711,2025-10-15,817.97
403,713,2024-07-16,1067.49
404,716,2025-08-14,8041.22
405,717,2024-09-01,3001.11
406,719,2024-03-30,2954.55
407,721,2024-08-08,3078.06
408,722,2025-08-16,3972.61
409,724,2024-08-28,1495.87
410,726,2024-10-01,3668.76
411,728,2024-10-26,3245.56
412,730,2024-10-24,915.05
413,732,2024-12-18,2162.6
414,734,2024-07-10,1111.74
415,735,2025-05-05,2334.36
416,737,2025-10-07,3017.29
417,738,2025-12-27,1726.0
418,742,2025-06-30,2685.64
419,744,2026-02-21,2898.19
420,746,2025-06-07,2647.41
421,747,2025-02-25,3747.09
422,748,2025-07-31,1244.62
423,749,2024-03-21,4361.02
424,752,2024-08-27,3875.94
425,753,2024-12-16,940.59
426,754,2025-07-02,2337.64
427,757,2024-04-02,698.62
428,759,2024-11-11,671.82
429,760,2024-06-13,5324.86
430,761,2024-07-06,1687.89
431,765,2024-04-10,2279.57
432,766,2024-10-12,3695.8
433,768,2024-10-18,5973.67
434,769,2024-04-21,1947.63
435,773,2026-01-28,4065.7
436,775,2024-02-24,4139.8
437,779,2024-06-30,193.52
438,780,2025-07-29,1172.09
439,782,2024-04-16,5397.58
440,783,2025-05-03,4335.4
441,784,2025-02-16,4443.18
442,787,2025-09-18,591.53
443,789,2025-01-22,1718.37
444,790,2025-01-04,682.48
445,791,2024-10-23,4267.15
446,792,2025-01-13,2887.4
447,793,2025-05-10,2073.72
448,795,2025-09-10,4381.22
449,797,2025-11-14,3456.14
450,798,2026-02-18,4232.84
451,799,2025-06-30,1109.11
452,806,2024-03-08,5059.33
453,807,2025-03-01,4027.36
454,808,2026-01-30,1967.22
455,811,2025-02-28,555.34
456,812,2025-09-11,3390.68
457,813,2025-12-24,1639.36
458,814,2025-02-06,6358.97
459,815,2024-05-21,1084.45
460,816,2024-02-26,5450.76
461,817,2024-03-08,5115.28
462,820,2025-03-19,1249.31
463,821,2024-12-27,2213.9
464,822,2025-05-09,1285.32
465,823,2025-03-21,751.24
466,824,2024-05-27,1612.55
467,827,2025-04-09,1748.98
468,828,2024-08-28,2149.07
469,829,2025-07-14,4312.69
470,830,2025-10-22,1053.45
471,833,2025-10-15,3700.82
472,834,2025-03-31,3249.19
473,835,2025-12-14,2215.5
474,837,2025-06-12,5134.59
475,839,2025-04-12,2558.62
476,840,2024-05-26,2304.03
477,842,2025-06-10,669.45
478,846,2024-06-17,1561.06
479,849,2025-03-24,3586.26
480,850,2025-07-17,3526.01
481,853,2024-05-26,4993.07
482,854,2025-07-15,9409.42
483,856,2025-01-29,6104.43
484,858,2025-03-08,1467.31
485,859,2026-01-01,1974.39
486,860,2025-06-08,2520.61
487,861,2025-10-21,1822.62
488,863,2025-10-08,4260.86
489,864,2024-04-30,3248.09
490,865,2024-07-03,1115.68
491,866,2025-12-27,1397.58
492,868,2025-04-28,3691.41
493,870,2026-01-27,320.01
494,873,2024-01-30,3414.87
495,874,2024-08-26,3825.97
496,880,2025-03-09,950.39
497,882,2025-08-03,1724.56
498,883,2025-05-25,684.28
499,885,2025-01-14,2605.97
500,886,2024-08-16,3070.68
501,887,2025-01-31,1293.46
502,889,2025-05-13,927.17
503,890,2024-08-16,2520.11
504,891,2025-08-29,1469.32
505,893,2024-11-16,2840.24
506,895,2024-09-29,6032.62
507,899,2025-09-21,4640.7
508,900,2024-10-08,2272.24
509,901,2024-06-01,1595.55
510,902,2025-05-16,1123.01
511,903,2024-11-17,1563.35
512,904,2024-03-06,7118.27
513,907,2024-03-18,8392.01
514,912,2024-07-22,3280.88
515,914,2025-03-20,7480.06
516,915,2024-08-24,5094.59
517,918,2024-08-09,851.22
518,920,2024-12-31,5090.19
519,925,2024-02-12,3851.21
520,929,2025-06-14,3568.47
521,933,2025-02-22,2827.79
522,935,2025-12-31,3198.51
523,936,2024-07-26,5390.18
524,939,2025-06-12,3878.53
525,940,2024-08-09,4708.77
526,941,2024-08-28,3228.71
527,946,2024-09-18,5118.21
528,947,2024-10-14,3695.99
529,949,2025-10-23,5265.72
530,950,2025-08-02,5102.94
531,951,2025-10-04,5005.83
532,952,2025-02-18,998.59
533,957,2025-11-04,12625.48
534,958,2025-10-16,2876.15
535,961,2025-08-28,2345.59
536,963,2024-07-24,2042.83
537,965,2024-12-02,2734.33
538,968,2024-12-20,1600.28
539,970,2024-05-15,603.38
540,972,2025-05-23,1982.64
541,977,2025-01-07,2343.77
542,978,2026-01-11,1036.71
543,981,2024-07-04,1964.6
544,982,2025-10-06,3679.32
545,983,2024-08-13,6709.69
546,986,2025-08-17,6916.28
547,987,2024-05-12,2470.2
548,988,2025-04-15,2146.79
549,990,2024-12-07,3090.69
550,996,2026-01-02,2721.05
551,997,2025-05-17,3468.08
552,998,2025-08-15,2810.65
553,999,2025-05-19,1374.94
554,1002,2025-04-08,3159.04
555,1003,2024-11-09,3320.68
556,1005,2024-07-23,2164.59
557,1006,2025-05-26,1604.63
558,1007,2025-07-07,1508.42
559,1008,2024-08-29,2521.77
560,1012,2026-03-10,360.38
561,1014,2025-07-25,6991.16
562,1015,2025-10-09,1717.77
563,1016,2024-03-18,3226.54
564,1019,2025-01-10,4008.54
565,1023,2025-02-22,2765.46
566,1024,2025-11-14,3071.48
567,1026,2025-09-12,1875.51
568,1027,2024-06-16,4474.69
569,1032,2024-10-21,2277.81
570,1033,2024-11-05,2753.43
571,1035,2024-11-07,4324.11
572,1036,2025-02-27,3891.69
573,1038,2024-06-24,2151.4
574,1041,2025-01-15,489.61
575,1042,2026-01-12,2490.88
576,1044,2025-11-25,2823.08
577,1045,2025-05-13,1194.32
578,1046,2025-04-24,7641.25
579,1048,2025-09-24,3514.58
580,1051,2025-03-30,1575.05
581,1053,2025-08-20,3770.01
582,1055,2025-06-10,3480.02
583,1056,2024-09-21,732.86
584,1057,2025-03-10,2208.32
585,1058,2025-07-14,3434.96
586,1060,2025-06-02,1122.82
587,1063,2024-05-18,912.22
588,1065,2025-01-10,2283.8
589,1068,2024-10-13,6986.95
590,1069,2024-08-23,3584.95
591,1070,2024-03-27,2930.76
592,1071,2024-04-10,3559.47
593,1072,2025-11-17,3379.41
594,1074,2024-08-15,1131.7
595,1075,2025-09-03,548.61
596,1078,2025-04-15,2879.92
597,1081,2025-03-15,2173.63
598,1082,2024-07-09,6139.42
599,1083,2024-04-15,1728.84
600,1084,2025-02-26,2107.43
601,1085,2026-03-12,3114.69
602,1087,2024-02-03,2241.0
603,1090,2024-04-29,6275.66
604,1093,2024-10-30,1848.92
605,1095,2024-11-28,5033.46
606,1096,2025-04-26,1530.48
607,1106,2025-11-22,1578.56
608,1108,2025-08-28,582.54
609,1109,2024-07-27,3249.94
610,1113,2025-03-05,1746.18
611,1114,2024-06-13,3989.37
612,1115,2024-10-07,1457.23
613,1116,2025-12-03,3979.44
614,1117,2025-06-12,1669.1
615,1118,2025-06-20,3491.29
616,1119,2025-10-15,1970.28
617,1125,2024-11-20,1097.17
618,1126,2024-09-24,2058.39
619,1127,2025-03-12,4517.72
620,1128,2024-12-30,7355.69
621,1129,2025-01-01,721.9
622,1131,2025-04-09,2940.99
623,1133,2024-06-12,1254.56
624,1135,2025-09-04,4536.75
625,1136,2025-05-15,3481.24
626,1137,2025-06-24,4127.84
627,1139,2024-11-05,1151.23
628,1142,2025-10-18,1216.32
629,1143,2024-06-04,4233.85
630,1146,2025-04-29,7648.51
631,1147,2025-06-27,2940.1
632,1149,2025-10-29,626.08
633,1150,2025-07-17,4954.28
634,1152,2024-10-17,505.37
635,1156,2025-10-23,6051.77
636,1159,2024-03-29,3030.62
637,1160,2024-06-26,3917.27
638,1164,2024-11-30,3706.59
639,1169,2024-06-02,997.64
640,1170,2025-05-15,1125.6
641,1171,2025-01-15,3245.02
642,1172,2024-02-19,1270.26
643,1173,2024-05-14,3657.47
644,1177,2025-06-03,2505.94
645,1181,2025-02-13,2595.76
646,1182,2025-07-18,1691.86
647,1183,2024-09-24,6540.58
648,1186,2025-10-05,7238.8
649,1187,2024-04-28,1175.8
650,1188,2025-11-27,5433.96
651,1191,2024-06-04,1685.84
652,1192,2025-10-16,2318.27
653,1194,2025-08-30,613.35
654,1197,2025-10-23,3373.48
655,1198,2024-07-16,2838.45
656,1199,2025-06-22,616.52
657,1200,2024-07-13,1178.24
658,1201,2025-09-02,8605.67
659,1204,2024-02-27,2740.49
660,1205,2025-11-25,2471.51
661,1208,2025-04-04,6216.98
662,1212,2025-04-21,201.8
663,1213,2026-03-08,1580.76
664,1217,2025-05-18,3427.06
665,1218,2024-05-09,3410.87
666,1219,2025-05-17,3466.18
667,1221,2024-01-29,9033.82
668,1223,2025-04-24,2865.61
669,1224,2024-06-22,1659.11
670,1226,2024-04-02,1421.59
671,1227,2024-08-05,2380.97
672,1230,2024-10-16,1030.99
673,1236,2025-05-17,2232.59
674,1237,2025-02-08,1528.01
675,1240,2025-10-26,372.3
676,1243,2024-03-13,6347.65
677,1245,2025-06-15,3578.64
678,1247,2025-09-15,2289.72
679,1249,2025-10-24,2680.7
680,1251,2024-03-31,3587.48
681,1252,2024-12-13,1766.78
682,1255,2026-01-20,5578.2
683,1258,2024-02-28,5842.54
684,1259,2024-09-27,1033.77
685,1260,2025-10-15,1022.79
686,1262,2024-10-09,5361.16
687,1263,2024-11-28,1646.08
688,1264,2025-02-17,3941.59
689,1265,2024-12-15,4354.08
690,1266,2024-02-17,7284.88
691,1267,2025-12-09,768.58
692,1268,2024-05-10,4780.44
693,1270,2026-01-31,1322.13
694,1271,2025-05-15,2492.29
695,1274,2025-12-15,5500.9
696,1275,2025-10-17,3355.0
697,1277,2025-05-02,1439.32
698,1280,2024-05-27,756.96
699,1284,2025-08-23,2414.95
700,1287,2025-06-30,2008.71
701,1288,2024-06-04,1849.59
702,1290,2025-07-14,4264.36
703,1292,2024-08-21,3719.23
704,1293,2025-04-20,2945.53
705,1294,2025-07-14,2435.26
706,1295,2025-03-28,3408.16
707,1296,2025-02-09,2639.42
708,1297,2025-11-12,779.07
709,1302,2025-11-14,742.28
710,1304,2024-10-08,4770.66
711,1307,2025-11-19,3421.47
712,1310,2024-04-08,2378.9
713,1312,2024-11-21,4326.24
714,1313,2025-04-23,1917.4
715,1315,2025-11-28,2003.52
716,1318,2025-07-16,2764.26
717,1320,2025-01-28,1686.82
718,1321,2025-05-27,3196.44
719,1322,2025-03-24,3292.06
720,1324,2025-04-07,2730.58
721,1327,2025-06-21,1512.39
722,1328,2024-10-08,2493.88
723,1329,2025-04-09,3011.16
724,1332,2025-10-06,2998.22
725,1333,2026-01-02,1728.58
726,1334,2024-06-20,3609.39
727,1335,2025-05-11,1834.26
728,1336,2025-12-06,2751.81
729,1338,2024-07-01,2390.31
730,1341,2025-05-15,1208.59
731,1342,2024-04-30,2292.4
732,1345,2026-03-04,5500.18
733,1346,2024-08-05,1885.92
734,1350,2024-10-31,2631.24
735,1352,2024-11-01,1740.53
736,1354,2024-04-02,1475.72
737,1356,2024-06-30,977.79
738,1357,2024-02-05,2343.42
739,1358,2025-07-27,2064.58
740,1363,2025-01-18,3081.28
741,1365,2024-09-07,2320.39
742,1366,2025-04-24,2992.91
743,1368,2024-11-10,2891.96
744,1371,2024-09-06,944.98
745,1375,2024-08-17,1745.35
746,1379,2025-12-31,4438.69
747,1380,2025-05-28,826.68
748,1381,2024-07-06,5698.54
749,1382,2025-08-23,2139.03
750,1383,2024-06-17,2048.73
751,1387,2025-04-06,4287.21
752,1388,2024-06-22,2860.5
753,1393,2024-09-18,2240.87
754,1394,2024-03-28,4805.54
755,1396,2024-08-10,2188.85
756,1399,2024-08-07,6281.46
757,1400,2024-09-12,4147.78
758,1403,2025-07-13,4025.89
759,1404,2025-07-28,3770.75
760,1407,2024-05-24,6802.87
761,1408,2025-09-17,1265.19
762,1410,2024-03-06,1503.66
763,1411,2024-12-12,749.32
764,1412,2025-12-26,2441.12
765,1413,2025-04-07,4663.86
766,1414,2024-10-25,2496.46
767,1418,2024-12-16,3505.45
768,1419,2025-04-28,4503.82
769,1420,2024-07-06,4188.78
770,1421,2024-07-15,2030.32
771,1422,2025-09-09,1460.19
772,1425,2024-10-08,2136.13
773,1426,2024-12-12,931.97
774,1427,2025-03-04,1703.32
775,1429,2024-10-21,1509.97
776,1430,2024-06-23,7572.68
777,1431,2025-03-14,1666.84
778,1432,2024-12-06,3295.58
779,1435,2024-05-15,3600.63
780,1436,2024-05-23,6085.87
781,1437,2025-06-05,13087.42
782,1439,2025-05-13,7692.2
783,1440,2024-09-18,1457.73
784,1442,2025-08-20,2650.59
785,1444,2024-08-17,3290.47
786,1445,2025-07-29,855.86
787,1447,2026-01-10,1829.39
788,1451,2025-04-20,2462.82
789,1453,2024-08-31,8624.83
790,1457,2024-03-22,6569.05
791,1458,2026-01-27,4289.79
792,1460,2025-03-11,4682.43
793,1464,2025-03-20,5848.43
794,1465,2025-01-06,650.82
795,1466,2024-04-26,3009.85
796,1467,2024-04-29,1192.68
797,1468,2024-10-03,3067.64
798,1471,2024-02-21,5142.99
799,1472,2025-08-11,3726.94
800,1474,2025-08-27,2120.6
801,1477,2024-10-05,1806.09
802,1479,2024-10-08,4187.5
803,1481,2025-09-20,3409.15
804,1483,2025-12-02,4211.65
805,1484,2025-10-06,2324.95
806,1485,2025-01-20,1645.07
807,1488,2026-02-10,1579.1
808,1489,2025-12-26,1106.45
809,1490,2025-11-20,1379.9
810,1492,2024-08-18,1043.79
811,1494,2024-08-22,6854.25
812,1495,2025-11-18,4796.6
813,1497,2024-10-29,2777.89
814,1498,2024-10-25,3079.35
815,1499,2024-08-10,3550.82
816,1501,2025-01-04,2494.76
817,1504,2024-09-11,1844.61
818,1505,2025-07-28,2153.76
819,1508,2025-12-21,1534.27
820,1509,2026-01-23,2302.36
821,1513,2024-12-07,4749.72
822,1514,2025-11-21,2431.0
823,1515,2025-11-30,1092.93
824,1516,2026-03-06,2327.64
825,1519,2025-09-02,4125.38
826,1520,2025-08-23,1997.79
827,1522,2025-08-06,1235.72
828,1523,2025-06-25,3573.97
829,1524,2025-08-25,114.91
830,1527,2025-10-25,2681.18
831,1528,2024-04-09,3716.17
832,1529,2025-07-01,3216.25
833,1532,2025-08-09,5286.65
834,1533,2024-07-07,3119.78
835,1535,2024-06-19,701.06
836,1536,2024-09-19,1023.57
837,1538,2024-04-05,4515.45
838,1541,2024-03-15,2987.95
839,1542,2024-10-23,1109.19
840,1545,2026-01-15,4185.55
841,1546,2025-06-14,2117.95
842,1548,2024-11-24,4611.43
843,1549,2026-02-12,862.86
844,1550,2024-05-28,1121.13
845,1551,2025-03-22,2481.52
846,1562,2025-08-30,856.91
847,1563,2025-08-18,1638.38
848,1564,2026-01-05,4119.04
849,1565,2025-11-13,3575.37
850,1566,2025-07-18,3337.79
851,1567,2024-12-03,2882.55
852,1568,2024-02-22,2049.69
853,1569,2025-02-18,1472.31
854,1570,2024-06-01,4893.65
855,1572,2024-05-13,1048.21
856,1573,2024-10-25,631.23
857,1576,2024-03-03,4863.57
